UniqueID,mg.asp,mg.pln,treat.dum,post.dum,Region,wave,wave.comp,nonmissing2,nonmissing3,wt2,wt3,educ,age,male,bs.exp.now,bs.exp.past,Score,lost.job,job_w1,gvt.rg.cmpl,bs.supp
1318,4,1,0,0,Greater Banjul Area,1,1,TRUE,FALSE,1.0924292540028762,1.4901735557165516,3,32,1,0,0,53,1,0,4,3
1318,5,1,0,1,Greater Banjul Area,2,1,TRUE,FALSE,1.0924292540028762,1.4901735557165516,3,32,1,0,0,53,1,0,4,4
1318,NA,NA,0,1,Greater Banjul Area,3,0,TRUE,FALSE,1.0924292540028762,1.4901735557165516,3,32,1,0,0,53,1,0,NA,NA
1319,4,3,0,0,Greater Banjul Area,1,1,TRUE,TRUE,1.0973228691311698,1.3449922388620659,2,23,0,0,0,53,1,0,4,4
1319,4,3,0,1,Greater Banjul Area,2,1,TRUE,TRUE,1.0973228691311698,1.3449922388620659,2,23,0,0,0,53,1,0,4,3
1319,3,1,0,1,Greater Banjul Area,3,1,TRUE,TRUE,1.0973228691311698,1.3449922388620659,2,23,0,0,0,53,1,0,4,2
1320,4,1,1,0,Greater Banjul Area,1,1,TRUE,FALSE,1.034853996799281,1.2954030876300424,3,25,0,0,0,53,0,0,4,2
1320,4,1,1,1,Greater Banjul Area,2,1,TRUE,FALSE,1.034853996799281,1.2954030876300424,3,25,0,0,0,53,0,0,2,4
1320,NA,NA,1,1,Greater Banjul Area,3,0,TRUE,FALSE,1.034853996799281,1.2954030876300424,3,25,0,0,0,53,0,0,NA,NA
1322,4,1,0,0,Greater Banjul Area,1,1,TRUE,FALSE,1.201268370314193,1.746331180829258,2,27,1,1,0,53,2,1,4,3
1322,5,2,0,1,Greater Banjul Area,2,1,TRUE,FALSE,1.201268370314193,1.746331180829258,2,27,1,1,0,53,2,1,4,2
1322,NA,NA,0,1,Greater Banjul Area,3,0,TRUE,FALSE,1.201268370314193,1.746331180829258,2,27,1,1,0,53,2,1,NA,NA
1324,3,1,1,0,Greater Banjul Area,1,1,FALSE,FALSE,NA,NA,NA,23,1,0,0,53,1,0,2,2
1324,2,1,1,1,Greater Banjul Area,2,1,FALSE,FALSE,NA,NA,NA,23,1,0,0,53,1,0,2,2
1324,2,1,1,1,Greater Banjul Area,3,1,FALSE,FALSE,NA,NA,NA,23,1,0,0,53,1,0,2,2
1325,5,3,0,0,Lower River Region,1,1,TRUE,FALSE,1.2026622972342493,1.5611757159653454,2,28,1,0,0,53,1,0,3,4
1325,4,1,0,1,Lower River Region,2,1,TRUE,FALSE,1.2026622972342493,1.5611757159653454,2,28,1,0,0,53,1,0,3,2
1325,NA,NA,0,1,Lower River Region,3,0,TRUE,FALSE,1.2026622972342493,1.5611757159653454,2,28,1,0,0,53,1,0,NA,NA
1326,4,2,1,0,Greater Banjul Area,1,1,TRUE,TRUE,1.1754234493987015,1.641841421197984,2,27,1,0,0,53,2,1,2,3
1326,3,1,1,1,Greater Banjul Area,2,1,TRUE,TRUE,1.1754234493987015,1.641841421197984,2,27,1,0,0,53,2,1,4,4
1326,2,1,1,1,Greater Banjul Area,3,1,TRUE,TRUE,1.1754234493987015,1.641841421197984,2,27,1,0,0,53,2,1,2,4
1327,4,3,0,0,Greater Banjul Area,1,1,TRUE,TRUE,1.0420618211660788,1.228993011246999,2,27,0,0,1,53,1,0,3,2
1327,5,1,0,1,Greater Banjul Area,2,1,TRUE,TRUE,1.0420618211660788,1.228993011246999,2,27,0,0,1,53,1,0,4,2
1327,5,2,0,1,Greater Banjul Area,3,1,TRUE,TRUE,1.0420618211660788,1.228993011246999,2,27,0,0,1,53,1,0,4,2
1328,4,2,0,0,Greater Banjul Area,1,1,TRUE,TRUE,1.0434937292642443,1.2090556183960988,2,36,0,0,1,53,2,1,4,2
1328,5,2,0,1,Greater Banjul Area,2,1,TRUE,TRUE,1.0434937292642443,1.2090556183960988,2,36,0,0,1,53,2,1,3,2
1328,4,2,0,1,Greater Banjul Area,3,1,TRUE,TRUE,1.0434937292642443,1.2090556183960988,2,36,0,0,1,53,2,1,4,2
1330,4,1,0,0,Greater Banjul Area,1,1,TRUE,TRUE,1.0885253214566881,1.3326260504496306,2,21,1,0,0,53,NA,0,4,2
1330,5,3,0,1,Greater Banjul Area,2,1,TRUE,TRUE,1.0885253214566881,1.3326260504496306,2,21,1,0,0,53,NA,0,4,4
1330,4,3,0,1,Greater Banjul Area,3,1,TRUE,TRUE,1.0885253214566881,1.3326260504496306,2,21,1,0,0,53,NA,0,4,1
1331,4,3,1,0,Greater Banjul Area,1,1,TRUE,FALSE,1.0863495505020473,1.329835961812375,2,33,0,1,0,53,2,1,4,2
1331,3,1,1,1,Greater Banjul Area,2,1,TRUE,FALSE,1.0863495505020473,1.329835961812375,2,33,0,1,0,53,2,1,4,2
1331,NA,NA,1,1,Greater Banjul Area,3,0,TRUE,FALSE,1.0863495505020473,1.329835961812375,2,33,0,1,0,53,2,1,NA,NA
1332,4,2,1,0,Greater Banjul Area,1,1,TRUE,TRUE,1.0861610707983382,1.411240266367935,2,22,0,1,0,53,2,1,4,2
1332,4,2,1,1,Greater Banjul Area,2,1,TRUE,TRUE,1.0861610707983382,1.411240266367935,2,22,0,1,0,53,2,1,4,4
1332,4,2,1,1,Greater Banjul Area,3,1,TRUE,TRUE,1.0861610707983382,1.411240266367935,2,22,0,1,0,53,2,1,5,4
1333,4,1,1,0,Greater Banjul Area,1,1,TRUE,TRUE,1.1266010075464568,1.6273449395202075,3,26,1,1,0,53,2,1,4,2
1333,4,1,1,1,Greater Banjul Area,2,1,TRUE,TRUE,1.1266010075464568,1.6273449395202075,3,26,1,1,0,53,2,1,5,4
1333,3,1,1,1,Greater Banjul Area,3,1,TRUE,TRUE,1.1266010075464568,1.6273449395202075,3,26,1,1,0,53,2,1,4,2
1334,4,1,1,0,Greater Banjul Area,1,1,TRUE,TRUE,1.2745013412033053,1.619124332422857,2,27,0,1,0,53,2,1,4,2
1334,5,2,1,1,Greater Banjul Area,2,1,TRUE,TRUE,1.2745013412033053,1.619124332422857,2,27,0,1,0,53,2,1,2,4
1334,5,2,1,1,Greater Banjul Area,3,1,TRUE,TRUE,1.2745013412033053,1.619124332422857,2,27,0,1,0,53,2,1,4,4
